1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
0.060998626,0.031480843,0.006822094,0.001011594,0.009671412,0.004042958,0.009299786,0.000163464,6.24E-05,0.000133488,0.000563775,0.000322922,1.62E-05,0.434148462,0.002565078,0.483807455,0.006106776,0.284703476,0.373148726,0.002842876,0.01049674,0.054728992,0.003706674,0.149517153,0.056663456,0.281582973,0.029235249,0.208892869,7.40E-05,0.000184691,9.52E-05,0.000212473,0.000130137,0.000383116,0.000208835,9.79E-05,4.73E-05,0.006472221,0.210790995,0.004821261,0.014093169,0.000323155,0.000763056,0.000168701,0.000164495,0.00017746,0.00010817,6.55E-05,5.35E-05,3.88E-05,0.000330617,0.000203792,0.000148695,0.000156491,0.000134893,0.000233005,0.000169957,0.000201649,3.26E-05,7.14E-05,6.34E-05,7.13E-05,6.40E-05,9.85E-05,2.36E-05,1.33E-05,1.99E-05,2.79E-05,6.54E-05,0.000126781,6.47E-05,3.48E-05,0.000120959,0.00282728,0.009079744,0.002201434,0.002605646,0.000260349,0.000561793,9.93E-05,0.000166367,0.000604452,0.000282957,0.00013395,0.00047744,8.98E-05,0.000111,0.000147499,8.71E-05,2.53E-05,0.000210096,0.00029214,0.00212216,6.75E-05,0.000822554,0.000537495,0.00040387,0.000516339,0.001455222,0.000206893,5.39E-05,0.000635326,0.00015765,0.00020962,0.00057219,0.000169913,0.000598397,0.000375685,0.000461296,0.000551064,7.68E-05,5.57E-05,0.000476575,0.009763631
0.001510325,0.016705649,0.004143984,7.27E-05,0.000645531,0.003478233,0.000174559,2.10E-05,1.04E-05,1.29E-05,4.89E-05,3.04E-05,3.93E-06,0.126760182,0.000150305,0.008663567,6.23E-05,0.000401299,0.000547384,0.004683083,0.004316608,0.017628191,1.49E-05,2.52E-05,1.78E-05,0.001729123,0.004706704,1.89E-05,4.04E-06,4.10E-06,4.23E-06,0.000107142,5.39E-05,7.92E-05,3.34E-05,2.23E-05,9.40E-06,0.001303285,0.000466183,2.67E-05,0.000701533,1.62E-05,1.43E-05,3.99E-05,3.84E-05,5.65E-05,2.95E-05,3.37E-05,2.01E-05,1.58E-05,6.31E-05,4.15E-05,2.89E-05,3.28E-05,2.73E-05,4.05E-05,3.23E-05,3.71E-05,9.01E-06,1.73E-05,1.61E-05,1.65E-05,1.56E-05,1.86E-05,6.04E-06,2.04E-06,3.73E-06,3.09E-06,1.09E-05,2.34E-05,1.15E-05,7.49E-06,1.89E-05,0.001572899,0.003590711,0.002845155,0.002356423,7.26E-05,9.44E-05,1.54E-05,3.58E-05,0.000104854,4.33E-05,2.35E-05,0.000393958,1.55E-05,1.74E-05,2.49E-05,1.29E-05,4.08E-06,3.41E-05,4.93E-05,0.000338767,1.11E-05,0.000133632,8.78E-05,6.61E-05,8.11E-05,0.000164671,2.89E-05,6.77E-06,0.000317181,0.000321782,0.000491128,0.000400609,0.000250058,0.000113399,4.49E-05,0.003738893,0.001374433,1.24E-05,1.06E-05,9.88E-05,1.41E-05
0.049365994,0.041044383,0.023593951,0.000476133,0.004420095,0.001800735,0.32816175,8.74E-05,2.30E-05,7.13E-05,0.000265254,0.000143926,0.0001365,0.001316515,0.001123035,0.000646306,0.206428151,0.007407941,0.009718615,0.033332807,0.21677154,0.073092554,0.002038107,0.000917582,0.140148742,0.002331574,0.00188733,0.000542094,0.000275926,0.000234887,0.000194991,0.000246654,0.000137358,0.000170828,0.000197088,8.89E-05,2.24E-05,0.000238868,0.000170803,0.000285857,0.000480872,0.01342881,0.036029721,9.54E-05,0.000109172,0.00015081,0.000102463,8.63E-05,5.91E-05,3.61E-05,0.000125162,0.00016811,0.000132562,0.000194353,7.21E-05,0.000208082,0.000120119,0.000147188,3.03E-05,9.13E-05,5.49E-05,7.26E-05,0.001870131,6.48E-05,0.000145504,6.11E-05,3.69E-05,0.000877244,2.73E-05,0.00117725,0.000984327,0.000351097,0.002122942,0.000695319,0.005160239,0.01084915,0.01315813,0.000235992,0.000494613,0.00038539,9.88E-05,0.000200781,0.000141372,7.26E-05,0.00747183,5.13E-05,4.15E-05,8.47E-05,0.000567614,2.40E-05,7.11E-05,0.000177579,0.002991611,2.48E-05,0.000325195,0.000425159,0.000166797,0.001103767,0.002450608,0.000432097,0.00017078,0.000787408,0.000456343,0.000777689,0.000884857,0.001880042,0.000837676,0.005918645,0.008542728,0.012016502,0.000387739,0.000381062,0.009810053,0.000743801
8.65E-07,6.43E-07,4.58E-07,0.037533874,1.78E-08,1.71E-06,1.95E-06,2.13E-06,3.35E-06,6.03E-07,2.64E-06,1.46E-06,3.28E-07,1.35E-07,0.201322223,1.92E-07,8.47E-07,0.01208158,1.71E-06,0.001016028,0.00065392,0.005474224,1.51E-06,7.21E-08,2.24E-07,6.92E-09,2.95E-08,1.30E-07,1.25E-07,7.64E-07,6.33E-07,1.21E-07,3.17E-07,1.52E-06,1.40E-06,9.13E-07,8.68E-07,2.60E-07,4.28E-09,5.08E-07,4.74E-07,9.50E-07,4.67E-07,7.64E-07,1.72E-06,1.20E-06,2.25E-06,3.81E-07,1.47E-06,2.79E-07,7.78E-07,1.03E-06,5.82E-07,8.37E-07,1.37E-06,1.99E-06,1.24E-06,0,1.13E-06,4.78E-07,7.20E-07,5.95E-07,5.86E-07,2.17E-06,9.04E-07,6.61E-07,1.78E-06,3.22E-07,2.56E-08,1.51E-06,1.32E-06,2.48E-06,1.66E-06,7.34E-05,0.001853362,0.004738362,0.001619597,7.01E-07,1.02E-06,4.15E-07,2.32E-07,1.68E-06,1.06E-06,4.31E-07,9.77E-07,2.12E-06,3.92E-06,4.86E-07,2.22E-07,1.99E-07,3.56E-07,6.06E-07,1.85E-06,0,9.04E-07,1.24E-06,1.33E-06,1.45E-06,3.28E-06,5.71E-07,1.46E-07,1.14E-06,2.44E-07,3.85E-07,3.98E-07,5.97E-07,3.01E-07,6.57E-07,3.33E-05,0.001075012,1.47E-06,6.42E-06,2.46E-06,2.69E-07
0.000722585,0.001373812,0.000431192,0.000260699,0.080138988,0.000120761,0.000875715,0.000188079,0.000259959,3.42E-05,0.000146325,8.22E-05,1.95E-05,3.51E-05,2.13E-05,3.35E-05,3.48E-05,4.68E-05,6.75E-05,3.04E-05,4.04E-05,3.52E-05,8.93E-05,2.55E-05,2.31E-05,1.38E-05,2.31E-05,1.85E-05,9.66E-06,4.31E-05,3.64E-05,0.321546603,0.065041142,0.000110294,9.04E-05,0.000411609,0.000223043,0.003502884,0.000133039,0.009888706,0.011891096,0.00287717,3.10E-05,5.99E-05,0.000109873,0.000102444,0.000137446,5.06E-05,9.39E-05,2.76E-05,6.00E-05,6.97E-05,4.03E-05,5.75E-05,8.26E-05,0.000114544,7.59E-05,9.48E-06,6.57E-05,3.44E-05,4.73E-05,3.95E-05,4.56E-05,0.000127569,5.23E-05,3.60E-05,9.70E-05,1.92E-05,3.67E-06,9.07E-05,7.67E-05,0.000137293,9.84E-05,6.65E-05,4.70E-05,3.42E-05,3.68E-05,8.19E-05,0.000213115,2.49E-05,2.67E-05,0.000110496,6.44E-05,2.80E-05,6.21E-05,0.000116736,0.000211446,3.03E-05,1.40E-05,1.13E-05,2.36E-05,4.07E-05,0.00014224,1.51E-06,6.52E-05,7.40E-05,8.01E-05,8.82E-05,0.000198696,3.50E-05,1.10E-05,6.81E-05,1.79E-05,2.72E-05,3.47E-05,3.68E-05,1.95E-05,4.36E-05,9.96E-05,0.000110581,8.30E-05,0.000347948,0.0001386,1.66E-05
0.000596947,0.000805443,0.000612557,0.000179123,1.54E-06,0.004388941,7.75E-05,8.32E-05,0.0001299,2.37E-05,0.000102977,5.73E-05,1.32E-05,1.21E-05,0.151060025,1.33E-05,0.000101809,0.00016924,0.000185328,9.42E-05,2.44E-05,0.000262039,0.000231218,8.27E-06,1.13E-05,3.72E-06,0.002384287,7.96E-06,5.56E-06,3.01E-05,2.51E-05,2.88E-05,2.32E-05,6.45E-05,5.77E-05,3.75E-05,3.42E-05,1.28E-05,2.68E-06,2.32E-05,2.00E-05,3.88E-05,1.93E-05,3.37E-05,7.04E-05,5.57E-05,9.10E-05,2.25E-05,6.06E-05,1.40E-05,3.32E-05,4.26E-05,2.42E-05,3.49E-05,5.47E-05,7.79E-05,4.97E-05,1.42E-06,4.49E-05,2.05E-05,2.99E-05,2.47E-05,2.63E-05,0.000571949,3.59E-05,2.57E-05,6.94E-05,1.29E-05,1.27E-06,6.04E-05,5.24E-05,9.72E-05,6.65E-05,0.000128246,0.00199354,0.000884536,0.000621973,3.76E-05,4.30E-05,1.63E-05,1.19E-05,6.72E-05,4.18E-05,1.73E-05,3.86E-05,8.26E-05,0.000151652,1.92E-05,8.75E-06,7.74E-06,1.38E-05,2.41E-05,7.17E-05,3.23E-08,3.50E-05,4.81E-05,5.16E-05,5.63E-05,0.000127786,0.000108721,6.42E-06,4.48E-05,9.97E-06,1.56E-05,1.60E-05,2.39E-05,1.22E-05,0.000541539,7.63E-05,0.00014043,5.78E-05,0.000249384,9.62E-05,1.08E-05
0.06802859,0.017469024,0.063772277,0.011791351,0.114335816,0.046240942,0.029385533,0.000772214,0.000102721,0.001075615,0.005032244,0.002633843,9.64E-05,2.27E-05,2.62E-05,2.34E-05,2.42E-05,2.72E-05,5.11E-05,2.06E-05,3.67E-05,2.68E-05,6.70E-05,1.91E-05,2.79E-05,0.007873802,1.33E-05,1.44E-05,7.40E-06,2.72E-05,2.29E-05,5.87E-05,4.61E-05,7.19E-05,8.83E-05,6.28E-05,3.05E-05,5.20E-05,7.99E-06,3.53E-05,2.90E-05,4.84E-05,3.97E-05,4.57E-05,8.66E-05,7.77E-05,0.000104923,3.48E-05,6.25E-05,1.60E-05,3.71E-05,5.53E-05,3.30E-05,4.96E-05,5.85E-05,0.000151868,8.23E-05,5.64E-05,4.63E-05,5.81E-05,4.27E-05,4.98E-05,3.57E-05,7.83E-05,3.70E-05,2.50E-05,7.44E-05,2.25E-05,5.77E-06,6.55E-05,6.01E-05,0.000122675,6.47E-05,0.000128752,4.40E-05,2.41E-05,1.69E-05,0.000195573,4.12E-05,4.24E-05,3.41E-05,6.82E-05,8.41E-05,4.30E-05,6.37E-05,7.96E-05,0.000126634,6.76E-05,1.47E-05,2.60E-05,6.62E-05,0.000100798,8.09E-05,3.78E-06,6.24E-05,0.000140587,0.000120396,9.13E-05,0.000129929,0.000511502,1.73E-05,0.000123087,2.01E-05,2.60E-05,3.06E-05,3.06E-05,1.54E-05,4.85E-05,8.61E-05,0.000109945,5.88E-05,0.000211135,0.000104989,1.39E-05
0.000561662,0.000267442,0.00093083,0.000337761,1.99E-05,0.000188695,0.000318682,0.025626508,0.003985416,0.00985896,0.015960566,0.020032993,0.002202569,0.000345936,0.000382277,0.00015246,0.000736412,0.000904401,0.001438174,0.000160363,0.001025741,0.000391648,0.000647162,0.000273015,0.000482786,0.004121469,4.15E-05,0.000168219,9.89E-05,0.000204183,0.000216666,0.000335138,0.000451772,0.005866603,0.001236588,0.00067599,0.000572506,0.001093789,0.000133846,0.001012619,0.000543528,0.000436347,0.000452009,0.000522653,0.000527031,0.003282012,0.000667027,0.000771168,0.047276454,0.008266867,0.000255512,0.002316328,0.006772307,0.000532797,0.000488805,0.001755353,0.00087044,0.001021435,0.000234183,0.000768679,0.000367075,0.000591173,0.000326452,0.000368347,0.096239214,0.000228264,0.00052671,0.000371297,0.000175798,0.001242843,0.001494782,0.00156614,0.001005603,0.000862624,0.000532716,0.000306637,0.000184833,0.00067491,0.000660407,0.000829645,0.001087784,0.000403588,0.001070411,0.00042687,0.000676032,0.000391677,0.00027354,0.000642604,0.000306724,8.65E-05,0.000305124,0.001201015,0.000620006,0.000191747,0.000783603,0.001431702,0.000768963,0.000843237,0.0007635,0.00064971,0.000361724,0.000350433,0.000172309,0.000213644,0.000314334,0.000287255,0.000137575,0.000521325,0.000787053,0.001081583,0.000399177,0.000625301,0.00059176,6.06E-05
0.000873777,0.000250886,0.000574587,0.003086909,0.000147719,0.000231436,0.000318224,0.009546478,0.005761656,0.005599859,0.007844049,0.009881612,0.001327571,0.002594418,0.001032867,0.005396546,0.003238096,0.013271404,0.004394665,0.002712306,0.002563932,0.005195431,0.005452394,0.004003647,0.00420722,0.000379726,0.00015396,0.001023261,0.001005302,0.000474962,0.000132844,0.001176817,0.002659395,0.01249469,0.005540919,0.001295492,0.544859863,0.000697273,0.00169168,0.064234203,0.001023932,0.010374513,0.011218116,0.030710697,0.033636878,0.003493709,0.021989024,0.012242834,0.006084117,0.012347695,0.012385756,0.002788358,0.005023031,0.003845414,0.001511955,0.002842659,0.002944501,0.002725095,0.001200397,0.001347303,0.003091173,0.001046682,0.001165168,0.0011661,0.039889078,0.0002828,0.003748709,0.000349531,0.000874018,0.001909855,0.002926551,0.0014689,0.001438217,0.019604655,0.000545419,0.001083547,0.004073107,0.004221781,0.001121847,0.001047731,0.000414894,0.010058492,0.001514314,0.001070344,0.000955093,0.000350185,0.000323125,0.000709731,9.84E-05,4.96E-05,0.000139527,0.000819315,0.001041315,0.00023031,0.000881896,0.0013993,0.000523904,0.000760169,0.000543612,0.000919177,0.001373907,0.000548001,0.000525645,0.000676833,0.00052586,0.000768976,0.000945562,0.000468601,0.000780046,0.001029151,0.000960991,0.000897873,0.001149473,0.000528905
0.001092654,0.000612777,0.000982814,0.001153795,3.83E-05,0.000542518,0.000916751,0.003586068,0.001135181,0.001649507,0.002612524,0.002287927,0.002526605,0.000437924,0.00087886,0.000520311,0.000491213,0.000514352,0.001653906,0.000325532,0.002070026,0.000493647,0.001334918,0.000862437,0.001028052,0.001411932,0.000329878,0.000903745,0.003137752,0.000876515,0.001260103,0.000445293,0.00119542,0.002507687,0.002738772,0.001751462,0.000537541,0.001978101,0.000452064,0.000743192,0.001514255,0.001235942,0.002730921,0.001306728,0.001705109,0.001579499,0.001699474,0.0004824,0.118541818,0.004446945,0.001945275,0.001435676,0.001149905,0.001175499,0.001093526,0.003150745,0.00165401,0.00188538,0.000503378,0.001474264,0.000947201,0.001133618,0.001005812,0.001172694,0.001259481,0.000513147,0.000944371,0.001085524,0.000417734,0.000833773,0.000921425,0.001997739,0.000738022,0.001945491,0.001571734,0.001204334,0.001002889,0.0015255,0.001507493,0.001607569,0.001688882,0.001129073,0.002286896,0.000884536,0.001565851,0.000915195,0.001119517,0.001305332,0.000593512,0.000197576,0.000634588,0.002110752,0.003033257,0.000133608,0.001800306,0.002595266,0.001514952,0.001693473,0.002019331,0.001714,0.000371451,0.000893462,0.000455757,0.000525564,0.000842561,0.000606189,0.000305852,0.00104901,0.001600714,0.002208052,0.000847597,0.00186053,0.001359421,0.000166454
